Date,TSLA,3557.TW,8046.TW,3443.TW
2016/8/10,45.130001,6.327072,25.491705,74.585556
2016/8/11,44.981998,6.327072,25.352661,74.773193
2016/8/12,45.122002,6.27962,24.889174,74.397926
2016/8/15,45.118,6.469432,24.472034,74.116463
2016/8/16,44.722,6.501067,24.564734,72.896828
2016/8/17,44.647999,6.390343,24.564734,72.521553
2016/8/18,44.702,6.501067,24.750128,71.208099
2016/8/19,45,6.406161,24.332991,69.894646
2016/8/22,44.585999,6.247984,24.472034,70.176102
2016/8/23,44.967999,6.406161,24.472034,69.988464
2016/8/24,44.523998,6.501067,24.425688,70.176102
2016/8/25,44.192001,6.48525,24.518387,70.26992
2016/8/26,43.998001,6.722514,24.286642,69.988464
2016/8/29,43.040001,6.880692,24.193945,69.800827
2016/8/30,42.268002,7.418493,24.008549,69.425552
2016/8/31,42.402,8.25683,23.776808,70.832825
2016/9/1,40.153999,9.07935,23.313322,71.020454
2016/9/2,39.556,8.889537,22.942533,71.114281
2016/9/6,40.566002,8.699725,23.545065,71.86483
2016/9/7,40.341999,8.857901,24.286642,72.427734
2016/9/8,39.472,8.857901,24.332991,72.146286
2016/9/9,38.894001,9.126802,24.147596,72.333923
2016/9/12,39.66,null,null,null
2016/9/13,39.209999,8.652272,23.9622,70.645195
2016/9/14,39.282001,8.636454,23.823156,70.082275
2016/9/15,40.084,8.573183,23.591413,69.894646
2016/9/16,41.080002,8.478277,23.684111,71.86483
2016/9/19,41.268002,8.177741,23.730461,71.958649
2016/9/20,40.928001,8.161923,24.472034,71.958649
2016/9/21,41.043999,8.098654,24.332991,73.365921
2016/9/22,41.285999,8.035382,24.286642,72.990654
2016/9/23,41.490002,8.209376,24.054901,72.333923
2016/9/26,41.798,8.209376,24.054901,72.333923
2016/9/27,41.161999,8.209376,24.054901,72.333923
2016/9/28,41.254002,8.383371,23.869505,72.146286
2016/9/29,40.139999,8.146106,23.730461,71.301918
2016/9/30,40.806,8.003747,23.730461,71.301918
2016/10/3,42.740002,7.98793,23.776808,71.583374
2016/10/4,42.282001,7.798117,23.730461,71.86483
2016/10/5,41.692001,7.90884,23.730461,72.240105
2016/10/6,40.200001,7.782299,23.406019,72.427734
2016/10/7,39.321999,7.592487,22.942533,71.301918
2016/10/10,40.189999,7.513399,22.432701,71.395737
2016/10/11,40.02,7.465946,22.293653,71.771011
2016/10/12,40.301998,6.95978,21.922865,71.958649
2016/10/13,40.048,7.007233,22.432701,71.677193
2016/10/14,39.301998,6.95978,22.386351,71.208099
2016/10/17,38.792,6.95978,22.386351,71.395737
2016/10/18,39.82,7.655758,22.525394,72.615372
2016/10/19,40.712002,8.415007,22.293653,73.365921
2016/10/20,39.82,8.87372,22.247307,73.647377
2016/10/21,40.018002,8.478277,22.247307,74.960838
2016/10/24,40.551998,8.557366,22.108261,75.054649
2016/10/25,40.467999,8.446643,22.154608,76.180466
2016/10/26,40.448002,8.79463,22.108261,76.180466
2016/10/27,40.801998,8.66809,22.108261,75.52375
2016/10/28,39.993999,8.46246,22.47905,75.148468
2016/10/31,39.546001,8.225195,22.108261,74.116463
2016/11/1,38.158001,8.11447,21.598427,73.365921
2016/11/2,37.604,8.067018,21.459381,73.553558
2016/11/3,37.484001,7.90884,21.69112,73.928841
2016/11/4,38.112,7.63994,21.459381,72.70919
2016/11/7,38.641998,7.276133,20.85685,69.425552
2016/11/8,38.987999,7.90884,21.227636,71.771011
2016/11/9,38.012001,7.434311,21.598427,71.301918
2016/11/10,37.07,7.434311,21.18129,70.832825
2016/11/11,37.712002,7.592487,21.227636,70.457558
2016/11/14,36.290001,7.592487,22.154608,70.645195
2016/11/15,36.754002,7.591733,21.922865,70.082275
2016/11/16,36.785999,7.591733,22.247307,71.771011
2016/11/17,37.731998,7.591733,22.293653,71.86483
2016/11/18,37.004002,7.591733,22.340002,71.86483
2016/11/21,36.903999,7.591733,22.432701,71.86483
2016/11/22,38.234001,7.591733,22.247307,71.301918
2016/11/23,38.627998,7.591733,22.293653,71.395737
2016/11/25,39.330002,7.591733,22.47905,73.365921
2016/11/28,39.223999,7.591733,22.525394,72.240105
2016/11/29,37.914001,7.591733,22.432701,71.86483
2016/11/30,37.880001,7.591733,22.47905,72.052467
2016/12/1,36.375999,8.329801,22.200958,71.395737
2016/12/2,36.293999,7.792796,21.969215,71.208099
2016/12/5,37.360001,7.680399,21.969215,72.803009
2016/12/6,37.169998,7.680399,22.154608,73.553558
2016/12/7,38.630001,7.742842,22.386351,73.553558
2016/12/8,38.458,7.318235,22.247307,73.084465
2016/12/9,38.436001,7.018511,22.340002,72.803009
2016/12/12,38.486,7.330723,22.247307,72.803009
2016/12/13,39.630001,7.218327,22.571745,74.022659
2016/12/14,39.737999,7.230815,22.432701,73.741196
2016/12/15,39.515999,7.118419,24.657431,73.928841
2016/12/16,40.498001,6.993535,23.915855,72.803009
2016/12/19,40.546001,7.093443,23.823156,72.990654
2016/12/20,41.757999,7.093443,23.174274,72.70919
2016/12/21,41.540001,7.792796,22.710793,72.240105
2016/12/22,41.689999,7.680399,22.664442,72.521553
2016/12/23,42.667999,7.530538,22.293653,72.70919
2016/12/27,43.905998,7.580492,22.340002,72.427734
2016/12/28,43.948002,7.642934,22.293653,74.3041
2016/12/29,42.936001,7.617958,22.98888,73.647377
2016/12/30,42.737999,7.51805,22.849836,73.647377
2017/1/3,43.397999,7.393166,22.80349,74.022659
2017/1/4,45.397999,7.493073,23.035231,75.054649
2017/1/5,45.349998,7.430631,23.359671,75.52375
2017/1/6,45.801998,7.430631,23.359671,75.992836
2017/1/9,46.256001,7.393166,23.12793,75.054649
2017/1/10,45.973999,7.555516,23.12793,74.960838
2017/1/11,45.945999,7.405654,22.942533,75.71138
2017/1/12,45.917999,7.44312,23.174274,74.86702
2017/1/13,47.549999,7.580492,23.081579,74.397926
2017/1/17,47.116001,7.44312,22.618095,74.116463
2017/1/18,47.672001,7.530538,22.710793,74.773193
2017/1/19,48.751999,7.530538,22.80349,74.679375
2017/1/20,48.945999,7.493073,22.757139,74.3041
2017/1/23,49.784,7.480584,22.710793,74.585556
2017/1/24,50.922001,7.3557,22.896187,75.054649
2017/1/25,50.894001,7.393166,23.035231,74.86702
2017/1/26,50.501999,7.293258,23.313322,75.336113
2017/1/27,50.59,7.230815,23.869505,74.491745
2017/1/30,50.125999,7.255792,23.684111,75.805199
2017/1/31,50.386002,7.268281,23.684111,76.180466
2017/2/1,49.848,7.792796,23.406019,75.899017
2017/2/2,50.310001,7.655424,23.266975,77.400116
2017/2/3,50.265999,7.493073,23.266975,78.338295
2017/2/6,51.554001,7.51805,23.359671,85.374664
2017/2/7,51.495998,7.51805,23.313322,87.25103
2017/2/8,52.416,7.405654,23.869505,87.43866
