Date,ARKW,ARKG,ARKQ,ARKK,TSLA,3557.TW,8046.TW,3443.TW
2018/6/22,49.921593,28.978882,33.967995,44.283909,66.725998,19.544432,25.980164,275.600677
2018/6/25,48.421764,28.062963,33.126823,43.029781,66.601997,20.793278,26.51634,279.906952
2018/6/26,48.883923,28.185715,33.512238,43.485828,68.400002,20.543509,26.175138,280.385406
2018/6/27,47.663132,27.288681,32.94471,42.231705,68.900002,20.106413,25.736446,294.739624
2018/6/28,48.439205,27.364222,33.309895,42.725754,69.986,19.856644,26.175138,299.045868
2018/6/29,48.378166,27.43976,33.396614,42.735252,68.589996,19.919086,25.736446,312.9216
2018/7/2,48.831604,28.044079,33.415886,43.32431,67.014,19.981529,25.882675,309.093811
2018/7/3,48.256088,28.28014,33.020828,42.896774,62.172001,20.043972,25.63896,300.002808
2018/7/5,48.936237,28.468988,33.309895,43.485828,61.832001,20.231298,25.785191,311.964661
2018/7/6,49.782074,29.347136,33.801304,44.369415,61.779999,20.106413,25.833935,305.266052
2018/7/9,50.322708,29.422676,34.360165,44.81596,63.702,20.605951,26.126392,304.787567
2018/7/10,50.165752,29.309368,34.302349,44.61644,64.494003,20.605951,26.07765,314.357025
2018/7/11,50.10471,29.403791,33.936203,44.578434,63.792,20.293739,26.711311,292.825714
2018/7/12,51.159821,29.838144,34.389069,45.367016,63.341999,20.293739,26.418854,317.227875
2018/7/13,50.985424,29.923124,34.350529,45.357513,63.773998,19.919086,26.418854,343.06543
2018/7/16,50.819744,29.125238,34.190582,44.597439,62.02,19.981529,26.07765,339.716125
2018/7/17,51.438862,29.451004,34.629955,45.081985,64.538002,20.168856,26.418854,327.275818
2018/7/18,51.369102,29.262156,34.801468,44.948971,64.769997,20.231298,26.223879,302.395203
2018/7/19,51.168541,29.639853,34.639591,45.157993,64.045998,20.356184,26.760056,304.309082
2018/7/20,50.933105,29.498215,34.496986,44.910969,62.716,20.043972,27.491205,291.868774
2018/7/23,51.090061,29.231939,34.389069,44.758957,60.639999,20.106413,27.539949,298.567413
2018/7/24,50.436069,28.50676,33.83503,43.59034,59.486,20.106413,28.124868,290.43335
2018/7/25,51.447582,28.846685,34.552872,44.521431,61.748001,19.981529,28.661043,275.600677
2018/7/26,51.098785,28.440662,34.54324,44.179394,61.330002,20.043972,29.050989,284.691681
2018/7/27,49.529198,27.392548,33.936203,42.488232,59.436001,20.481066,29.440935,272.251373
2018/7/30,47.88113,27.052622,33.329166,41.424118,58.034,20.106413,29.245964,271.772888
2018/7/31,48.029369,27.760805,33.733856,42.326714,59.627998,20.293739,28.563557,266.031189
2018/8/1,48.142727,27.713593,33.907295,42.49773,60.167999,20.356184,27.198746,270.337463
2018/8/2,49.398399,27.996866,34.841938,43.580837,69.907997,20.293739,27.442461,280.385406
2018/8/3,48.98856,27.685265,34.919025,43.200802,69.634003,20.106413,27.539949,274.643738
2018/8/6,49.642555,27.85523,34.938293,43.647346,68.398003,20.106413,28.90476,275.600677
2018/8/7,49.94775,28.223484,35.391159,44.274403,75.914001,19.919086,28.709787,271.294434
2018/8/8,49.939034,28.468988,35.506786,44.321915,74.068001,19.794201,28.856018,281.820831
2018/8/9,50.20063,28.875015,35.188816,44.483429,70.489998,20.481066,28.563557,292.825714
2018/8/10,50.061115,29.044979,35.025009,44.587936,71.098,19.919086,28.076122,299.045868
2018/8/13,49.904156,28.997766,34.658863,44.283909,71.281998,19.981529,28.076122,290.43335
2018/8/14,50.183189,29.243269,34.735947,44.540432,69.528,19.981529,27.978638,299.524353
2018/8/15,49.032162,28.893898,34.148182,43.628342,67.737999,19.981529,27.881153,287.084045
2018/8/16,49.014717,29.271599,34.263809,44.084393,67.089996,20.043972,29.245964,291.868774
2018/8/17,48.665924,29.158287,34.013287,43.542835,61.099998,20.293739,31.683128,320.577179
2018/8/20,48.979839,29.347136,34.446884,44.065388,61.688,19.981529,30.220829,324.404968
2018/8/21,49.625114,29.923124,34.909389,45.005978,64.379997,19.981529,30.025854,330.146637
2018/8/22,50.10471,30.102531,34.880482,45.043983,64.328003,19.981529,30.562033,305.266052
2018/8/23,49.982635,30.215841,34.764858,44.977478,64.019997,19.981529,30.513287,300.002808
2018/8/24,51.159821,30.555773,35.342983,45.661545,64.564003,19.919086,30.367058,282.299316
2018/8/27,51.770218,31.112875,35.815121,46.440624,63.854,20.106413,31.780611,277.993042
2018/8/28,51.831257,31.155365,35.844028,46.545132,62.372002,19.919086,33.145424,293.304199
2018/8/29,52.232376,31.823893,36.007832,47.153194,61.001999,19.919086,33.437881,298.567413
2018/8/30,51.700459,32.21764,35.766945,47.124687,60.630001,19.981529,32.170559,280.385406
2018/8/31,51.839977,32.529243,35.786213,47.2197,60.332001,19.981529,32.073071,281.820831
2018/9/4,51.683018,32.249748,35.270718,46.716148,57.790001,20.043972,31.195694,269.858978
2018/9/5,49.965191,31.877714,34.523972,45.595039,56.147999,20.231298,30.367058,287.084045
